<msg_type>  <time>  <packet_type>  <seq>  <size>  <ack>
snd         5642.294       D       15952  50      1     
rcv         5642.375       A       1      0       15902 
snd         5642.443       D       16002  50      1     
rcv         5642.505       A       1      0       15952 
snd         5642.574       D       16052  50      1     
rcv         5653.565       A       1      0       16002 
rcv         5669.645       A       1      0       16052 
snd         5686.765       D       16102  50      1     
rcv         5692.85        A       1      0       16102 
snd         5692.988       D       16152  50      1     
snd         5716.822       D       16202  50      1     
rcv         5722.972       A       1      0       16152 
snd         5728.45        D       16252  50      1     
rcv         5739.109       A       1      0       16202 
snd         5750.366       D       16302  50      1     
rcv         5761.115       A       1      0       16252 
snd         5772.504       D       16352  50      1     
rcv         5788.916       A       1      0       16302 
snd         5805.475       D       16402  50      1     
drop        5805.475       D       16452  50      1     
rcv         5817.83        A       1      0       16352 
snd         5835.355       D       16452  50      1     
rcv         5840.605       A       1      0       16402 
snd         5846.044       D       16502  50      1     
rcv         5856.912       A       1      0       16452 
snd         5863.406       D       16552  50      1     
rcv         5886.281       A       1      0       16502 
snd         5891.559       D       16602  50      1     
rcv         5891.675       A       1      0       16552 
snd         5901.998       D       16652  50      1     
rcv         5920.451       A       1      0       16602 
snd         5926.211       D       16702  50      1     
rcv         5943.28        A       1      0       16652 
rcv         5961.357       A       1      0       16702 
snd         5966.836       D       16752  50      1     
rcv         5966.916       A       1      0       16752 
snd         5984.188       D       16802  50      1     
rcv         6002.248       A       1      0       16802 
snd         6018.186       D       16852  50      1     
rcv         6040.608       A       1      0       16852 
snd         6040.688       D       16902  50      1     
rcv         6052.702       A       1      0       16902 
snd         6063.842       D       16952  50      1     
rcv         6085.601       A       1      0       16952 
snd         6091.052       D       17002  50      1     
rcv         6097.488       A       1      0       17002 
snd         6113.427       D       17052  50      1     
rcv         6130.461       A       1      0       17052 
snd         6135.832       D       17102  50      1     
rcv         6153.143       A       1      0       17102 
snd         6170.293       D       17152  50      1     
rcv         6170.367       A       1      0       17152 
snd         6190.693       D       17202  50      1     
rcv         6216.64        A       1      0       17202 
snd         6222.841       D       17252  50      1     
drop        6222.841       D       17302  50      1     
drop        6222.841       D       17302  50      1     
rcv         6240.598       A       1      0       17252 
snd         6240.698       D       17302  50      1     
rcv         6256.672       A       1      0       17302 
snd         6267.786       D       17352  50      1     
rcv         6284.758       A       1      0       17352 
snd         6301.464       D       17402  50      1     
drop        6301.464       D       17452  50      1     
rcv         6312.904       A       1      0       17402 
snd         6324.28        D       17452  50      1     
rcv         6324.417       A       1      0       17452 
rcv         6324.519       A       1      0       17502 
snd         6329.721       D       17502  50      1     
snd         6341.444       D       17552  50      1     
rcv         6341.53        A       1      0       17552 
snd         6357.662       D       17602  50      1     
rcv         6379.456       A       1      0       17602 
snd         6379.551       D       17652  50      1     
rcv         6391.693       A       1      0       17652 
snd         6403.44        D       17702  50      1     
rcv         6425.509       A       1      0       17702 
rcv         6425.638       A       1      0       17752 
snd         6437.071       D       17752  50      1     
rcv         6443.442       A       1      0       17802 
